title,price,discount_price,discount_percent,release_date,reviews,tags,developer,publisher
Stray, 195.00, 175.50,-10%,"19 Jul, 2022",No reviews yet,"['Cats', 'Adventure', 'Cyberpunk', 'Indie', 'Third Person', 'Exploration', 'Sci-fi', 'Cute', 'Atmospheric', 'Robots', 'Beautiful', 'Singleplayer', 'Mystery', 'Open World', 'Dystopian', 'Puzzle', 'Stealth', 'Action', 'Horror', 'Colorful']",BlueTwelve Studio,Annapurna Interactive
Raft, 219.00, 219.00,,"20 Jun, 2022","Very Positive 93% of the 163,106 user reviews for this game are positive.","['Survival', 'Open World Survival Craft', 'Multiplayer', 'Co-op', 'Crafting', 'Open World', 'Building', 'Base Building', 'Online Co-Op', 'Adventure', 'Sandbox', 'First-Person', 'Early Access', 'Singleplayer', 'Underwater', 'Simulation', 'Action', 'Indie', 'Strategy', 'Massively Multiplayer']",Redbeet Interactive,Axolot Games
Monster Hunter Rise: Sunbreak, 719.00, 719.00,,"29 Jun, 2022","Mixed 67% of the 1,996 user reviews for this game are positive.","['Action', 'Multiplayer', 'Co-op', 'Character Customization', 'RPG', 'JRPG', 'Hunting']","CAPCOM Co., Ltd.","CAPCOM Co., Ltd."
ELDEN RING, 849.00, 849.00,,"24 Feb, 2022","Very Positive 90% of the 387,777 user reviews for this game are positive.","['Souls-like', 'Relaxing', 'Dark Fantasy', 'RPG', 'Difficult', 'Open World', 'Action RPG', 'Third Person', 'Fantasy', 'Multiplayer', 'Online Co-Op', 'Singleplayer', 'Action', 'Co-op', 'PvP', 'Violent', 'Atmospheric', '3D', 'Great Soundtrack', 'Walking Simulator']",FromSoftware Inc.,FromSoftware Inc.
Ready or Not, 449.00, 449.00,,"17 Dec, 2021","Very Positive 92% of the 48,642 user reviews for this game are positive.","['Tactical', 'Realistic', 'FPS', 'Multiplayer', 'Shooter', 'First-Person', 'Co-op', 'Singleplayer', 'Action', 'Violent', 'Crime', 'Gun Customization', 'Combat', 'Modern', 'Gore', 'Atmospheric', 'America', 'Co-op Campaign', 'Early Access', 'Horror']",VOID Interactive,VOID Interactive
CS:GO Prime Status Upgrade, 239.00, 239.00,,"21 Aug, 2012","Very Positive 88% of the 6,503,254 user reviews for games in this bundle are positive.","['FPS', 'Shooter', 'Multiplayer', 'Competitive', 'Action', 'Team-Based', 'eSports', 'Tactical', 'First-Person', 'PvP', 'Online Co-Op', 'Co-op', 'Strategy', 'Military', 'War', 'Difficult', 'Trading', 'Realistic', 'Fast-Paced', 'Moddable']",Valve,Valve
F1® 22, 999.95, 999.95,,"30 Jun, 2022","Mixed 66% of the 4,782 user reviews for this game are positive.","['Racing', 'Sports', 'Multiplayer', 'Co-op', 'VR', 'Singleplayer', 'PvP', 'Immersive Sim', 'Online Co-Op', 'Driving', 'Realistic', 'Simulation', 'Automobile Sim', 'Controller', 'Hentai']",Codemasters,Electronic Arts
Wallpaper Engine, 47.00, 47.00,,Nov 2018,"Overwhelmingly Positive 98% of the 485,990 user reviews for this software are positive.","['Mature', 'Utilities', 'Software', 'Anime', 'Design & Illustration', 'Animation & Modeling', 'Memes', 'Indie', 'Cute', 'Early Access', 'NSFW', 'Action', 'Funny', 'Singleplayer', 'Sandbox', 'Photo Editing', 'Game Development', 'Horror', 'Free to Play', 'First-Person']",Wallpaper Engine Team,Wallpaper Engine Team
ASTRONEER, 250.00, 125.00,-50%,"5 Feb, 2019","Very Positive 91% of the 80,172 user reviews for this game are positive.","['Multiplayer', 'Open World', 'Open World Survival Craft', 'Space', 'Survival', 'Exploration', 'Base Building', 'Co-op', 'Sandbox', 'Adventure', 'Building', 'Crafting', 'Sci-fi', 'Singleplayer', 'Colorful', 'Third Person', 'Automation', 'Simulation', 'Atmospheric', 'Indie']",System Era Softworks,System Era Softworks
Grand Theft Auto V: Premium Edition, 498.00, 498.00,,,"Very Positive 85% of the 1,244,691 user reviews for games in this bundle are positive.",[],Rockstar North,Rockstar Games
Phasmophobia, 99.00, 99.00,,"18 Sep, 2020","Overwhelmingly Positive 97% of the 366,366 user reviews for this game are positive.","['Horror', 'Online Co-Op', 'Multiplayer', 'Psychological Horror', 'Co-op', 'VR', 'Supernatural', 'First-Person', 'Investigation', 'Dark', 'Mystery', 'Demons', 'Detective', 'Early Access', '3D', 'Thriller', 'Indie', 'Action', 'Tactical', 'Lovecraftian']",Kinetic Games,Kinetic Games
V Rising, 130.00, 130.00,,"17 May, 2022","Very Positive 88% of the 37,459 user reviews for this game are positive.","['Early Access', 'Survival', 'Open World', 'Vampire', 'Crafting', 'PvP', 'Base Building', 'PvE', 'Multiplayer', 'Building', 'Hack and Slash', 'Online Co-Op', 'Sandbox', 'Action-Adventure', 'Exploration', 'Action', 'Massively Multiplayer', 'Adventure', 'Dark Fantasy', 'Singleplayer']",Stunlock Studios,Stunlock Studios
Stardew Valley, 159.00, 159.00,,"26 Feb, 2016","Overwhelmingly Positive 98% of the 404,020 user reviews for this game are positive.","['Farming Sim', 'Life Sim', 'Pixel Graphics', 'RPG', 'Multiplayer', 'Relaxing', 'Agriculture', 'Simulation', 'Crafting', 'Sandbox', 'Indie', 'Building', 'Singleplayer', 'Casual', 'Open World', '2D', 'Great Soundtrack', 'Cute', 'Dating Sim', 'Fishing']",ConcernedApe,ConcernedApe
Spyro™ Reignited Trilogy, 559.00, 195.65,-65%,"3 Sep, 2019","Very Positive 94% of the 8,283 user reviews for this game are positive.","['Adventure', '3D Platformer', 'Remake', 'Dragons', 'Action', 'Family Friendly', 'Classic', 'Singleplayer', 'Cute', 'Platformer', 'Colorful', 'Fantasy', 'Cult Classic', 'Casual', 'Great Soundtrack', 'Cartoony', 'Collectathon', 'Third Person', 'Atmospheric', 'Funny']",Toys for Bob,Activision
Rust, 329.00, 329.00,,"8 Feb, 2018","Very Positive 87% of the 651,536 user reviews for this game are positive.","['Survival', 'Crafting', 'Multiplayer', 'Open World', 'Open World Survival Craft', 'Building', 'Sandbox', 'PvP', 'Adventure', 'First-Person', 'Action', 'FPS', 'Nudity', 'Co-op', 'Shooter', 'Online Co-Op', 'Indie', 'Early Access', 'Post-apocalyptic', 'Simulation']",Facepunch Studios,Facepunch Studios
Mafia Trilogy, 999.00, 399.60,-60%,"24 Sep, 2020","Mostly Positive 72% of the 65,868 user reviews for games in this bundle are positive.","['Violent', 'Sexual Content', 'Nudity', 'Gore']",,
Baldur's Gate 3, 799.00, 799.00,,"6 Oct, 2020","Very Positive 87% of the 46,624 user reviews for this game are positive.","['Early Access', 'RPG', 'Choices Matter', 'Character Customization', 'Story Rich', 'CRPG', 'Co-op Campaign', 'Fantasy', 'Romance', 'Class-Based', 'Dark Fantasy', 'PvE', 'Narration', 'Stealth', 'Combat', 'Crafting', 'Isometric', 'Tutorial', 'Turn-Based Combat', 'Team-Based']",Larian Studios,Larian Studios
HYPERCHARGE: Unboxed, 130.00, 130.00,,"27 Apr, 2020","Very Positive 91% of the 2,164 user reviews for this game are positive.","['Action', 'Shooter', 'Online Co-Op', 'FPS', 'Singleplayer', 'Third-Person Shooter', 'Tower Defense', 'Local Co-Op', 'Split Screen', 'PvE', 'PvP', 'Exploration', 'Parkour', 'Tutorial', 'Third Person', 'Character Customization', 'First-Person', '4 Player Local', 'Controller', 'Local Multiplayer']",Digital Cybercherries,Digital Cybercherries
Sea of Thieves, 219.00, 219.00,,"3 Jun, 2020","Very Positive 90% of the 197,586 user reviews for this game are positive.","['Adventure', 'Multiplayer', 'Open World', 'Pirates', 'Co-op', 'Action', 'Online Co-Op', 'Sailing', 'PvP', 'First-Person', 'Exploration', 'Naval', 'Funny', 'PvE', 'Massively Multiplayer', 'Atmospheric', 'Swordplay', 'Great Soundtrack', 'FPS', 'Singleplayer']",Rare Ltd,Xbox Game Studios
Mafia: Definitive Edition, 699.00, 244.65,-65%,"24 Sep, 2020","Very Positive 86% of the 32,036 user reviews for this game are positive.","['Action', 'Open World', 'Story Rich', 'Crime', 'Adventure', 'Singleplayer', 'Remake', 'Third-Person Shooter', 'Sexual Content', 'Third Person', 'Classic', 'Atmospheric', 'Multiplayer', 'Violent', 'Shooter', 'Mature', 'Gore', 'Noir', 'Great Soundtrack', 'Racing']",Hangar 13,2K
It Takes Two, 649.95, 649.95,,"25 Mar, 2021","Overwhelmingly Positive 96% of the 80,360 user reviews for this game are positive.","['Co-op', 'Multiplayer', 'Split Screen', 'Puzzle', 'Adventure', 'Local Co-Op', 'Online Co-Op', 'Story Rich', 'Local Multiplayer', 'Puzzle Platformer', '3D Platformer', 'Co-op Campaign', 'Action-Adventure', 'Platformer', 'Emotional', 'Action', 'Atmospheric', 'Female Protagonist', 'Exploration', 'Minigames']",Hazelight,Electronic Arts
The Forest, 130.00, 130.00,,"30 Apr, 2018","Overwhelmingly Positive 95% of the 325,075 user reviews for this game are positive.","['Open World Survival Craft', 'Survival', 'Open World', 'Horror', 'Crafting', 'Adventure', 'Building', 'Survival Horror', 'First-Person', 'Action', 'Exploration', 'Sandbox', 'Atmospheric', 'Singleplayer', 'Simulation', 'Indie', 'Realistic', 'Gore', 'Early Access', 'Zombies']",Endnight Games Ltd,Endnight Games Ltd
DNF Duel, 799.00, 799.00,,"27 Jun, 2022","Mixed 69% of the 2,070 user reviews for this game are positive.","['2D Fighter', 'PvP', 'Action', 'Arcade', 'Casual', 'Anime', '2.5D', ""Beat 'em up"", 'Fighting', '3D Fighter', 'Multiplayer', 'Strategy', 'Local Multiplayer', 'Singleplayer', 'Cinematic']",Arc System Works,NEOPLE Inc.
NARAKA: BLADEPOINT, 349.95, 349.95,,"11 Aug, 2021","Mostly Positive 79% of the 97,523 user reviews for this game are positive.","['Battle Royale', 'Sexual Content', 'Multiplayer', 'Martial Arts', 'PvP', 'Survival', 'Hack and Slash', 'Third Person', 'Nudity', 'Parkour', 'Action', 'Massively Multiplayer', 'Violent', 'Swordplay', 'Character Customization', 'Female Protagonist', 'Gore', 'Fighting', 'Adventure', 'Anime']",24 Entertainment,NetEase Games Montréal
Forza Horizon 5, 999.00, 999.00,,"8 Nov, 2021","Very Positive 87% of the 73,662 user reviews for this game are positive.","['Racing', 'Open World', 'Driving', 'Multiplayer', 'Automobile Sim', 'Adventure', 'Simulation', 'Realistic', 'Exploration', 'Arcade', 'First-Person', 'Atmospheric', 'Sports', 'PvP', 'Co-op', 'Online Co-Op', 'Singleplayer', 'Beautiful', 'Action', 'Third Person']",Playground Games,Xbox Game Studios
Project Zomboid, 130.00, 130.00,,"8 Nov, 2013","Very Positive 92% of the 81,654 user reviews for this game are positive.","['Survival', 'Zombies', 'Open World', 'Open World Survival Craft', 'Multiplayer', 'Sandbox', 'Post-apocalyptic', 'Co-op', 'Crafting', 'Indie', 'Simulation', 'RPG', 'Building', 'Survival Horror', 'Realistic', 'Isometric', 'Singleplayer', 'Early Access', '2D', 'Adventure']",The Indie Stone,The Indie Stone
Terraria, 109.00, 109.00,,"16 May, 2011","Overwhelmingly Positive 97% of the 777,742 user reviews for this game are positive.","['Open World Survival Craft', 'Sandbox', 'Survival', '2D', 'Multiplayer', 'Adventure', 'Crafting', 'Pixel Graphics', 'Building', 'Exploration', 'Co-op', 'Open World', 'Indie', 'Online Co-Op', 'Action', 'RPG', 'Singleplayer', 'Replay Value', 'Platformer', 'Atmospheric']",Re-Logic,Re-Logic
Blasphemous, 219.00, 54.75,-75%,"10 Sep, 2019","Very Positive 90% of the 18,406 user reviews for this game are positive.","['Metroidvania', 'Souls-like', 'Pixel Graphics', 'Gore', 'Violent', 'Dark Fantasy', 'Action', '2D', 'Indie', 'Platformer', 'Difficult', 'Adventure', 'Blood', 'Horror', 'Singleplayer', 'Gothic', 'Lore-Rich', 'Great Soundtrack', 'Nudity', 'Side Scroller']",The Game Kitchen,Team17
Garry's Mod, 109.00, 109.00,,"29 Nov, 2006","Overwhelmingly Positive 96% of the 720,571 user reviews for this game are positive.","['Sandbox', 'Multiplayer', 'Funny', 'Moddable', 'Building', 'Comedy', 'Co-op', 'Mod', 'First-Person', 'Physics', 'Simulation', 'Online Co-Op', 'FPS', 'Singleplayer', 'Action', 'Animation & Modeling', 'Shooter', 'Indie', 'Massively Multiplayer', 'Adventure']",Facepunch Studios,Valve
EA Play, 48.50, 48.50,,"31 Aug, 2020",No reviews yet,[],,
The Room Collection, 237.00, 179.55,-24%,,"Overwhelmingly Positive 97% of the 51,094 user reviews for games in this bundle are positive.",[],Fireproof Games,Fireproof Games
Tiny Tina's Wonderlands, 1 069.00, 1 069.00,,"23 Jun, 2022","Mostly Positive 76% of the 2,124 user reviews for this game are positive.","['Adventure', 'Loot', 'Shooter', 'Fantasy', 'Multiplayer', 'FPS', 'Action', 'RPG', 'Comedy', 'Stylized', 'Online Co-Op', 'Narration', 'Looter Shooter', 'Singleplayer', 'Character Customization', 'Co-op', 'Class-Based', 'PvE', 'Local Co-Op', '3D']",Gearbox Software,2K
Red Dead Redemption 2, 999.00, 999.00,,"5 Dec, 2019","Very Positive 88% of the 252,642 user reviews for this game are positive.","['Open World', 'Adventure', 'Story Rich', 'Western', 'Action', 'Multiplayer', 'Realistic', 'Shooter', 'Singleplayer', 'Atmospheric', 'Third-Person Shooter', 'Horses', 'Beautiful', 'Mature', 'Great Soundtrack', 'Third Person', 'Sandbox', 'Gore', 'First-Person', 'FPS']",Rockstar Games,Rockstar Games
God of War, 599.00, 599.00,,"14 Jan, 2022","Overwhelmingly Positive 96% of the 36,444 user reviews for this game are positive.","['Action', 'Adventure', 'Story Rich', 'Singleplayer', 'Mythology', 'Third Person', 'Combat', 'RPG', 'Violent', 'Fantasy', 'Exploration', 'Hack and Slash', 'Atmospheric', 'Gore', 'Emotional', 'Action RPG', '3D', 'Souls-like', 'PvE', 'Open World']",Santa Monica Studio,PlayStation PC LLC
Cuphead & The Delicious Last Course, 295.00, 295.00,,"30 Jun, 2022","Overwhelmingly Positive 96% of the 98,137 user reviews for games in this bundle are positive.",[],,Studio MDHR Entertainment Inc.
Crash Bandicoot™ N. Sane Trilogy, 559.00, 279.50,-50%,"29 Jun, 2018","Very Positive 93% of the 8,383 user reviews for this game are positive.","['3D Platformer', 'Remake', 'Classic', 'Platformer', 'Singleplayer', 'Difficult', 'Adventure', 'Great Soundtrack', 'Action', 'Funny', 'Cartoony', 'Colorful', 'Controller', 'Family Friendly', 'Retro', ""1990's"", 'Comedy', 'Third Person', 'Nostalgia', 'Cute']",Vicarious Visions,Activision
ARK: Ultimate Survivor Edition, 387.42, 387.42,,,"Very Positive 82% of the 447,613 user reviews for games in this bundle are positive.",[],Studio Wildcard,Studio Wildcard
FINAL FANTASY VII REMAKE INTERGRADE, 1 429.00, 1 429.00,,"17 Jun, 2022","Very Positive 90% of the 4,884 user reviews for this game are positive.","['RPG', 'Action RPG', 'Action-Adventure', 'JRPG', 'Spectacle fighter', 'Singleplayer', 'Party-Based RPG', '3D Platformer', 'Controller', 'Third Person', 'Action', 'Adventure', '3D', 'Fantasy', 'Magic', 'Realistic', 'Drama', 'Cinematic', 'Sci-fi', 'Underground']",Square Enix,Square Enix
Rune Factory 5 - Digital Deluxe Edition, 1 149.00, 976.65,-15%,"13 Jul, 2022",No reviews yet,"['RPG', 'Adventure', 'Simulation', 'Farming Sim', 'Romance', 'Fantasy', 'Creature Collector', 'Anime', 'Magic', '3D', 'Combat', 'Fishing', 'Party-Based RPG', 'Crafting', 'Cute', 'Story Rich', 'Singleplayer', 'Farming', 'Dating Sim', 'JRPG']",Marvelous Inc.,XSEED Games
Tiny Tina's Wonderlands, 1 069.00, 1 069.00,,"23 Jun, 2022","Mostly Positive 76% of the 2,124 user reviews for this game are positive.","['Adventure', 'Loot', 'Shooter', 'Fantasy', 'Multiplayer', 'FPS', 'Action', 'RPG', 'Comedy', 'Stylized', 'Online Co-Op', 'Narration', 'Looter Shooter', 'Singleplayer', 'Character Customization', 'Co-op', 'Class-Based', 'PvE', 'Local Co-Op', '3D']",Gearbox Software,2K
Borderlands 3, 899.00, 224.75,-75%,"13 Mar, 2020","Very Positive 84% of the 80,026 user reviews for this game are positive.","['RPG', 'Action', 'Looter Shooter', 'FPS', 'Online Co-Op', 'Open World', 'Multiplayer', 'Loot', 'Co-op', 'Shooter', 'Co-op Campaign', 'Singleplayer', 'Gore', 'First-Person', 'Violent', 'Adventure', 'Great Soundtrack', 'Nudity', 'Epic', 'Comedy']",Gearbox Software,2K
SCUM, 205.00, 123.00,-40%,"29 Aug, 2018","Mostly Positive 75% of the 61,205 user reviews for this game are positive.","['Survival', 'Open World Survival Craft', 'Multiplayer', 'Open World', 'Zombies', 'Massively Multiplayer', 'Action', 'Early Access', 'Adventure', 'Crafting', 'Realistic', 'Nudity', 'Singleplayer', 'FPS', 'Violent', 'PvP', 'Third Person', 'Gore', 'Indie', 'RPG']",Gamepires,Gamepires
ARK: Survival Evolved, 175.00, 175.00,,"27 Aug, 2017","Very Positive 82% of the 432,961 user reviews for this game are positive.","['Open World Survival Craft', 'Survival', 'Open World', 'Multiplayer', 'Dinosaurs', 'Crafting', 'Building', 'Adventure', 'Base Building', 'Co-op', 'Action', 'First-Person', 'Sandbox', 'Massively Multiplayer', 'Singleplayer', 'Early Access', 'RPG', 'Dragons', 'Sci-fi', 'Indie']",Studio Wildcard,Studio Wildcard
Valheim, 130.00, 130.00,,"2 Feb, 2021","Overwhelmingly Positive 95% of the 303,941 user reviews for this game are positive.","['Open World Survival Craft', 'Survival', 'Online Co-Op', 'Open World', 'Multiplayer', 'Building', 'Crafting', 'Exploration', 'Base Building', 'Co-op', 'Sandbox', 'Adventure', 'Mythology', 'RPG', 'Early Access', 'Action', 'Indie', 'PvP', 'Singleplayer', 'Third Person']",Iron Gate AB,Coffee Stain Publishing
STAR WARS™: The Old Republic™ - Cartel Coins, 47.95, 47.95,,"21 Jul, 2020",No reviews yet,"['Massively Multiplayer', 'MMORPG']",BioWare,Electronic Arts
STAR WARS™: The Old Republic™ - Cartel Coins, 47.95, 47.95,,"21 Jul, 2020",No reviews yet,"['Massively Multiplayer', 'MMORPG']",BioWare,Electronic Arts
STAR WARS™: The Old Republic™ - Cartel Coins, 47.95, 47.95,,"21 Jul, 2020",No reviews yet,"['Massively Multiplayer', 'MMORPG']",BioWare,Electronic Arts
STAR WARS™: The Old Republic™ - Cartel Coins, 47.95, 47.95,,"21 Jul, 2020",No reviews yet,"['Massively Multiplayer', 'MMORPG']",BioWare,Electronic Arts
STAR WARS™: The Old Republic™ - Cartel Coins, 47.95, 47.95,,"21 Jul, 2020",No reviews yet,"['Massively Multiplayer', 'MMORPG']",BioWare,Electronic Arts
STAR WARS™: The Old Republic™ - Cartel Coins, 47.95, 47.95,,"21 Jul, 2020",No reviews yet,"['Massively Multiplayer', 'MMORPG']",BioWare,Electronic Arts
